Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"18/10/2023 15:55:25",27.663,38.191,7,0.38,"MW",4.2,"Bayındır (İzmir)",606727
"16/10/2023 14:51:01",36.328,37.815,6.89,0.48,"MW",4.1,"Andırın (Kahramanmaraş)",606498
"14/10/2023 17:07:09",31.736,40.874,7.7,0.32,"MW",4.5,"Merkez (Bolu)",606286
"14/10/2023 11:00:04",24.711,34.468,7.22,0.67,"MW",4.1,"Akdeniz",606267
"12/10/2023 14:04:04",43.501,38.906,7,0.54,"MW",4.7,"Van Gölü - [04.01 km] Tuşba (Van)",606053
"09/10/2023 09:28:53",38.146,38.326,6.96,0.35,"MW",4.3,"Yeşilyurt (Malatya)",605778
"08/10/2023 01:01:46",38.151,38.103,5.93,0.41,"MW",4.4,"Yeşilyurt (Malatya)",605630
"05/10/2023 18:23:18",36.618,37.888,10.24,0.46,"MW",4.3,"Onikişubat (Kahramanmaraş)",605380
"04/10/2023 10:58:14",35.894,36.072,10.81,0.54,"ML",4,"Akdeniz - [06.10 km] Samandağ (Hatay)",605197
"30/09/2023 12:38:52",27.051,36.939,6.28,0.15,"MW",4.1,"Ege Denizi - [19.95 km] Bodrum (Muğla)",604757
"28/09/2023 21:42:46",29.511,39.094,9.81,0.29,"MW",4,"Gediz (Kütahya)",604532
"28/09/2023 09:18:24",37.374,38.367,14.37,0.58,"MW",4,"Elbistan (Kahramanmaraş)",604457
"23/09/2023 11:22:21",36.327,37.919,8.48,0.42,"MW",4.6,"Göksun (Kahramanmaraş)",603877
"21/09/2023 17:43:01",45.739,38.542,7,0.67,"MW",4.2,"Marand, Doğu Azerbaycan (İran) - [116.05 km] Başkale (Van)",603644
"11/09/2023 00:43:48",44.411,35.024,7,0.68,"MW",4.8,"Daquq, Kerkük (Irak)",602422
"04/09/2023 08:26:08",27.128,37.957,6.64,0.39,"MW",4.4,"Ege Denizi - Kuşadası Körfezi - [06.50 km] Menderes (İzmir)",601673
"29/08/2023 07:58:14",32.974,38.929,13.57,0.51,"MW",4.8,"Kulu (Konya)",600881
"27/08/2023 06:09:43",27.802,36.44,57.6,0.2,"MW",4.1,"Ege Denizi - [33.46 km] Datça (Muğla)",600685
"26/08/2023 11:58:43",37.552,38.041,6.99,0.37,"ML",4.1,"Nurhak (Kahramanmaraş)",600632
"24/08/2023 08:35:23",38.171,38.309,7,0.5,"MW",5,"Yeşilyurt (Malatya)",600288
"23/08/2023 21:22:32",43.691,39.664,7,0.43,"MW",4.1,"Doğubayazıt (Ağrı)",600210
"23/08/2023 11:19:29",40.335,39.197,11.97,0.9,"MW",4.2,"Kiğı (Bingöl)",600176
"22/08/2023 13:17:32",36.675,38.435,7.06,0.36,"MW",4.7,"Sarız (Kayseri)",600060
"21/08/2023 18:45:57",28.134,36.759,61.85,0.25,"MW",4.1,"Marmaris (Muğla)",599936
"21/08/2023 16:54:32",36.347,37.986,5.17,0.65,"MW",4.1,"Göksun (Kahramanmaraş)",599930
